image_id  x_1    y_1    width   height
000093.jpg 175 48 53 55
000114.jpg 176 72 147 205
000131.jpg 65 77 135 173
000149.jpg 214 73 113 139
000176.jpg 130 62 132 187
000180.jpg 151 251 336 427
000207.jpg 199 51 108 141
000277.jpg 88 108 162 207
000280.jpg 36 50 108 143
000306.jpg 112 72 214 323
000457.jpg 114 86 158 213
000461.jpg 108 58 145 213
000486.jpg 113 73 131 185
000501.jpg 156 90 168 202
000565.jpg 700 154 297 396
000625.jpg 67 20 60 79
000654.jpg 174 44 196 289
000678.jpg 100 73 107 130
000711.jpg 115 43 60 80
000724.jpg 96 52 85 127
000727.jpg 473 108 174 242
000772.jpg 84 106 170 210
000795.jpg 221 86 171 227
000825.jpg 160 147 233 319
000833.jpg 84 88 130 187
000875.jpg 81 106 150 211
000876.jpg 151 111 151 196
000957.jpg 235 72 110 134
000962.jpg 108 138 112 185
000985.jpg 123 70 66 90
000987.jpg 77 79 170 262
000988.jpg 179 53 53 59
000989.jpg 89 74 235 306
000991.jpg 216 128 260 342
001004.jpg 58 92 169 219
001053.jpg 68 28 67 86
001084.jpg 171 82 133 184
001085.jpg 137 52 132 156
001145.jpg 106 79 146 202
001276.jpg 124 1 86 122
001313.jpg 61 77 155 214
001319.jpg 206 83 179 241
001321.jpg 99 100 128 168
001367.jpg 78 129 236 330
001382.jpg 615 228 463 546
001414.jpg 103 104 150 204
001508.jpg 99 65 132 184
001568.jpg 437 470 720 922
001571.jpg 96 47 74 105
001598.jpg 136 83 161 190
001602.jpg 165 125 202 266
001618.jpg 144 29 158 227
001651.jpg 56 49 103 119
001697.jpg 136 104 159 226
001719.jpg 134 47 111 137
001728.jpg 169 33 124 182
001854.jpg 70 111 146 223
001855.jpg 180 51 87 109
001941.jpg 416 110 164 226
001948.jpg 83 96 180 257
002028.jpg 170 84 166 226
002036.jpg 93 49 55 63
002045.jpg 148 51 90 127
002056.jpg 288 64 258 354
002058.jpg 274 124 130 158
002068.jpg 30 63 62 75
002123.jpg 86 138 236 299
002135.jpg 1903 398 418 534
002153.jpg 100 51 84 116
002154.jpg 128 109 231 327
002173.jpg 75 111 151 199
002184.jpg 332 79 104 144
002188.jpg 69 55 127 182
002429.jpg 98 98 207 278
002433.jpg 94 90 70 83
002512.jpg 62 57 110 188
002559.jpg 56 68 127 164
002590.jpg 125 23 114 121
002613.jpg 78 28 83 102
002622.jpg 84 103 179 268
002696.jpg 118 58 116 156
002767.jpg 121 106 147 220
002842.jpg 673 45 125 174
002845.jpg 241 25 144 184
002856.jpg 125 95 217 314
002892.jpg 253 64 135 171
002969.jpg 151 55 61 77
002993.jpg 110 34 256 292
003034.jpg 707 37 121 145
003049.jpg 84 33 61 69
003147.jpg 100 93 176 268
003150.jpg 122 152 195 274
003158.jpg 46 50 50 56
003276.jpg 310 111 131 163
003308.jpg 102 95 179 253
003315.jpg 211 167 182 266
003391.jpg 175 53 132 175
003410.jpg 725 160 270 359
003425.jpg 162 83 129 169
003427.jpg 155 84 120 161
003435.jpg 131 115 146 196
003437.jpg 185 94 199 280
003465.jpg 79 56 148 202
003517.jpg 226 86 120 164
003524.jpg 111 132 190 275
003552.jpg 148 58 97 130
003566.jpg 125 77 118 184
003628.jpg 94 146 219 317
003688.jpg 176 57 53 55
003700.jpg 30 41 115 151
003817.jpg 64 73 71 89
003818.jpg 79 58 132 201
003871.jpg 156 41 116 148
003877.jpg 86 81 136 182
003884.jpg 79 61 189 279
003907.jpg 267 157 145 193
003926.jpg 502 396 321 434
003939.jpg 411 111 229 308
004052.jpg 95 78 136 197
004055.jpg 210 64 129 159
004058.jpg 149 84 120 163
004074.jpg 119 129 173 251
004091.jpg 307 20 62 77
004093.jpg 299 271 353 486
004134.jpg 141 73 112 153
004203.jpg 242 84 93 127
004208.jpg 153 34 57 83
004296.jpg 439 109 143 148
004327.jpg 192 73 117 164
004369.jpg 89 114 210 318
004397.jpg 89 98 185 255
004442.jpg 40 85 114 153
004445.jpg 113 113 114 154
004457.jpg 85 37 66 64
004507.jpg 249 32 102 139
004584.jpg 1806 842 438 578
004595.jpg 146 166 171 263
004605.jpg 193 89 126 191
004623.jpg 109 111 129 179
004629.jpg 144 53 78 101
004668.jpg 71 89 154 203
004688.jpg 220 30 94 132
004691.jpg 44 45 86 97
004710.jpg 264 117 223 352
004732.jpg 412 99 211 238
004739.jpg 65 50 372 454
004745.jpg 114 110 139 198
004777.jpg 52 32 59 75
004800.jpg 166 87 109 130
004807.jpg 108 58 139 194
004810.jpg 229 53 111 161
004866.jpg 125 51 109 154
004873.jpg 85 66 76 99
004883.jpg 109 76 87 124
004959.jpg 244 71 144 188
005020.jpg 111 17 75 80
005044.jpg 138 113 121 186
005069.jpg 251 158 133 176
005104.jpg 145 127 204 269
005109.jpg 277 170 382 543
005164.jpg 262 37 93 124
005205.jpg 186 111 138 178
005299.jpg 121 100 98 136
005333.jpg 73 62 125 173
005368.jpg 204 32 97 122
005380.jpg 123 82 130 171
005392.jpg 130 47 88 105
005402.jpg 218 89 209 289
005412.jpg 226 120 172 264
005455.jpg 167 93 258 344
005465.jpg 101 89 143 189
005466.jpg 15 60 74 89
005467.jpg 168 64 74 111
005504.jpg 128 72 129 188
005508.jpg 134 36 120 198
005664.jpg 147 198 324 427
005689.jpg 125 43 101 123
005710.jpg 58 29 54 71
005765.jpg 408 120 167 212
005840.jpg 88 66 96 133
005865.jpg 197 126 151 198
005867.jpg 143 31 70 83
005897.jpg 87 97 110 167
005934.jpg 49 38 92 112
005949.jpg 155 79 143 205
005969.jpg 73 79 94 119
005991.jpg 82 77 142 168
006060.jpg 162 127 121 178
006155.jpg 82 82 80 85
006156.jpg 272 142 172 263
006157.jpg 33 67 85 103
006172.jpg 205 188 220 300
006180.jpg 325 111 77 98
006191.jpg 63 119 240 288
006199.jpg 137 135 152 236
006223.jpg 111 61 60 70
006282.jpg 390 230 481 673
006335.jpg 57 60 121 169
006365.jpg 106 120 174 250
006383.jpg 210 39 121 171
006421.jpg 271 72 79 104
006423.jpg 360 139 275 368
006452.jpg 134 92 144 192
006497.jpg 147 55 163 206
006506.jpg 183 73 114 182
006512.jpg 413 249 185 271
006549.jpg 578 55 106 125
006591.jpg 378 134 243 351
006598.jpg 133 130 165 205
006669.jpg 34 60 160 183
006745.jpg 250 134 168 226
006771.jpg 254 126 259 384
006782.jpg 442 37 110 149
006789.jpg 112 68 103 135
006805.jpg 218 66 106 133
006813.jpg 67 60 78 107
006916.jpg 41 98 136 181
007053.jpg 165 146 147 184
007103.jpg 81 69 136 179
007104.jpg 106 89 99 136
007107.jpg 175 79 271 318
007111.jpg 195 73 163 212
007150.jpg 511 277 326 392
007158.jpg 83 100 146 202
007185.jpg 44 99 78 95
007200.jpg 70 52 102 134
007216.jpg 126 152 175 249
007220.jpg 208 73 139 185
007221.jpg 164 53 64 75
007281.jpg 122 86 148 200
007296.jpg 145 67 170 217
007329.jpg 25 38 62 92
007406.jpg 100 66 76 89
007413.jpg 358 178 243 344
007444.jpg 104 41 193 246
007446.jpg 181 173 224 285
007526.jpg 110 74 139 176
007547.jpg 284 130 164 231
007558.jpg 179 61 134 187
007565.jpg 197 67 81 111
007603.jpg 193 75 83 120
007631.jpg 108 79 108 162
007641.jpg 1610 454 617 825
007685.jpg 53 42 156 223
007703.jpg 67 40 116 157
007709.jpg 118 66 97 125
007709.jpg 3 227 69 60
007710.jpg 242 108 193 264
007710.jpg 467 334 167 275
007714.jpg 81 74 93 120
007764.jpg 62 115 155 209
007778.jpg 211 51 146 200
007856.jpg 161 56 97 130
007873.jpg 54 128 199 277
007911.jpg 162 37 92 126
007917.jpg 131 100 136 184
007983.jpg 234 33 115 140
008064.jpg 482 278 314 461
008118.jpg 46 42 79 110
008173.jpg 69 72 113 129
008215.jpg 115 47 66 87
008217.jpg 114 65 150 190
008265.jpg 95 136 162 204
008284.jpg 195 133 196 258
008349.jpg 348 82 213 276
008450.jpg 180 87 91 117
008478.jpg 77 108 89 98
008482.jpg 350 54 343 448
008519.jpg 203 98 302 409
008542.jpg 188 53 47 54
008566.jpg 138 89 182 217
008575.jpg 373 52 216 290
008608.jpg 85 88 183 223
008614.jpg 185 40 89 116
008638.jpg 52 37 72 82
008759.jpg 134 40 149 194
008761.jpg 273 75 114 157
008804.jpg 96 70 103 132
008851.jpg 94 88 128 161
008854.jpg 393 349 471 637
008868.jpg 81 176 190 238
008873.jpg 155 52 107 148
008907.jpg 235 152 94 105
008911.jpg 89 88 173 264
008918.jpg 69 79 89 99
008946.jpg 95 75 72 92
008995.jpg 25 42 95 119
009031.jpg 159 32 66 97
009099.jpg 173 77 118 166
009158.jpg 115 67 101 135
009197.jpg 108 62 133 172
009213.jpg 137 102 156 203
009238.jpg 775 358 339 518
009278.jpg 183 40 171 214
009394.jpg 68 41 86 122
009399.jpg 202 143 275 355
009429.jpg 83 101 148 186
009466.jpg 117 40 190 283
009480.jpg 302 48 196 365
009557.jpg 166 81 113 152
009627.jpg 100 96 116 154
009635.jpg 91 75 91 115
009651.jpg 111 59 126 190
009653.jpg 136 148 289 400
009656.jpg 1022 546 683 939
009658.jpg 110 104 209 273
009698.jpg 171 187 300 410
009703.jpg 127 94 146 186
009707.jpg 147 37 150 219
009730.jpg 76 63 93 131
009837.jpg 127 119 121 136
009865.jpg 272 34 61 70
009967.jpg 133 78 136 186
009978.jpg 216 93 146 189
009980.jpg 384 62 163 207
009981.jpg 152 67 96 126
010129.jpg 111 209 285 357
010205.jpg 103 66 102 159
010224.jpg 106 84 187 245
010237.jpg 41 45 64 82
010241.jpg 387 234 420 661
010243.jpg 141 44 108 144
010244.jpg 133 12 141 198
010280.jpg 74 69 199 252
010291.jpg 130 111 120 158
010366.jpg 403 71 176 261
010393.jpg 106 26 64 94
